ball,primary_signal,alternate_functions,power_ground_domain_class,voltage_domain,cpb0_usage,destination_net,source_document,source_page_table,confidence,unresolved,unresolved_reason
B8,MIPI_DSICSI1_D2_P,,MEDIA,MIPI_DSICSI1_VPH,DISPLAY_CAMERA,MIPI_DSICSI1_D2_P,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
B10,MIPI_DSICSI1_CLK_P,,MEDIA,MIPI_DSICSI1_VPH,DISPLAY_CAMERA,MIPI_DSICSI1_CLK_P,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
B12,MIPI_DSICSI1_D1_P,,MEDIA,MIPI_DSICSI1_VPH,DISPLAY_CAMERA,MIPI_DSICSI1_D1_P,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
B14,MIPI_DSICSI1_D0_P,,MEDIA,MIPI_DSICSI1_VPH,DISPLAY_CAMERA,MIPI_DSICSI1_D0_P,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
B16,USB1_RX1_P,,USB,USB1_VP,USB_C_OR_USB2,USB1_RX1_P,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
B18,USB1_D_N,,USB,USB1_VDD33,USB_C_OR_USB2,USB1_D_N,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
B20,USB1_RX0_N,,USB,USB1_VP,USB_C_OR_USB2,USB1_RX0_N,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
B22,USB1_TXRTUNE,,USB,USB1_VDD33,USB_C_OR_USB2,USB1_TXRTUNE,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
B24,USB2_D_P,,USB,USB2_VDD33,USB_C_OR_USB2,USB2_D_P,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
B26,PCIE_REF_OUT_CLK_P,,PCIE,VDD_ANA_1P8,PCIE,PCIE_REF_OUT_CLK_P,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
B28,PCIE1_RX0_P,,PCIE,PCIE1_VP,NVME_M2,PCIE1_RX0_P,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
B30,PCIE1_REF_PAD_CLK_P,,PCIE,PCIE1_VP,NVME_M2,PCIE1_REF_PAD_CLK_P,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
B32,PCIE2_REF_PAD_CLK_P,,PCIE,PCIE2_VP,WIFI_M2,PCIE2_REF_PAD_CLK_P,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
B34,PCIE2_RX0_P,,PCIE,PCIE2_VP,WIFI_M2,PCIE2_RX0_P,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
B36,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
B38,ADC_IN1,SEE_IMX95_PINMUX_SHEET,IO,AVDD_1P8_ADC,GPIO_PERIPH_CANDIDATE,ADC_IN1,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
B40,ADC_IN3,SEE_IMX95_PINMUX_SHEET,IO,AVDD_1P8_ADC,GPIO_PERIPH_CANDIDATE,ADC_IN3,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
B42,ADC_IN5,SEE_IMX95_PINMUX_SHEET,IO,AVDD_1P8_ADC,GPIO_PERIPH_CANDIDATE,ADC_IN5,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
B44,ADC_IN6,SEE_IMX95_PINMUX_SHEET,IO,AVDD_1P8_ADC,GPIO_PERIPH_CANDIDATE,ADC_IN6,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
B46,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
B48,RTC_XTALI,SEE_IMX95_PINMUX_SHEET,IO,NVCC_BBSM,GPIO_PERIPH_CANDIDATE,RTC_XTALI,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
B50,XTALI_24M,SEE_IMX95_PINMUX_SHEET,IO,TOP_XTAL_VDD18,GPIO_PERIPH_CANDIDATE,XTALI_24M,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
B52,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
C1,LVDS1_D1_P,,MEDIA,VDD_LVDS_1P8,DISPLAY_CAMERA,LVDS1_D1_P,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
C3,LVDS1_D1_N,,MEDIA,VDD_LVDS_1P8,DISPLAY_CAMERA,LVDS1_D1_N,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
C5,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
C7,MIPI_DSICSI1_D3_N,,MEDIA,MIPI_DSICSI1_VPH,DISPLAY_CAMERA,MIPI_DSICSI1_D3_N,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
C9,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
C11,MIPI_DSICSI1_CLK_N,,MEDIA,MIPI_DSICSI1_VPH,DISPLAY_CAMERA,MIPI_DSICSI1_CLK_N,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
C13,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
C15,MIPI_DSICSI1_D0_N,,MEDIA,MIPI_DSICSI1_VPH,DISPLAY_CAMERA,MIPI_DSICSI1_D0_N,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
C17,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
C19,USB1_D_P,,USB,USB1_VDD33,USB_C_OR_USB2,USB1_D_P,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
C21,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
C23,USB1_DNU,,USB,Internal 1.8V,USB_C_OR_USB2,USB1_DNU,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
C25,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
C27,PCIE_REF_OUT_CLK_N,,PCIE,VDD_ANA_1P8,PCIE,PCIE_REF_OUT_CLK_N,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
C29,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
C31,PCIE1_REF_PAD_CLK_N,,PCIE,PCIE1_VP,NVME_M2,PCIE1_REF_PAD_CLK_N,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
C33,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
C35,PCIE2_RX0_N,,PCIE,PCIE2_VP,WIFI_M2,PCIE2_RX0_N,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
C37,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
C39,ADC_IN2,SEE_IMX95_PINMUX_SHEET,IO,AVDD_1P8_ADC,GPIO_PERIPH_CANDIDATE,ADC_IN2,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
C41,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
C43,PMIC_STBY_REQ,,BOOT_DEBUG,NVCC_BBSM,BOOT_DEBUG_PMIC,PMIC_STBY_REQ,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
C45,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
C47,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
C49,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
C51,XTALO_24M,SEE_IMX95_PINMUX_SHEET,IO,TOP_XTAL_VDD18,GPIO_PERIPH_CANDIDATE,XTALO_24M,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
D2,LVDS1_CLK_P,,MEDIA,VDD_LVDS_1P8,DISPLAY_CAMERA,LVDS1_CLK_P,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
D4,LVDS1_CLK_N,,MEDIA,VDD_LVDS_1P8,DISPLAY_CAMERA,LVDS1_CLK_N,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
D6,LVDS0_D2_P,,MEDIA,VDD_LVDS_1P8,DISPLAY_CAMERA,LVDS0_D2_P,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
D8,LVDS0_D3_P,,MEDIA,VDD_LVDS_1P8,DISPLAY_CAMERA,LVDS0_D3_P,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
D10,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
D12,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
D14,MIPI_CSI1_D2_N,,MEDIA,MIPI_CSI1_VPH,DISPLAY_CAMERA,MIPI_CSI1_D2_N,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
D16,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
D18,MIPI_CSI1_D1_N,,MEDIA,MIPI_CSI1_VPH,DISPLAY_CAMERA,MIPI_CSI1_D1_N,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
D20,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
D22,USB1_TX1_N,,USB,USB1_VPTX1,USB_C_OR_USB2,USB1_TX1_N,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
D24,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
D26,USB1_TX0_P,,USB,USB1_VPTX0,USB_C_OR_USB2,USB1_TX0_P,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
D28,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
D30,PCIE1_TX0_N,,PCIE,PCIE1_VPTX,NVME_M2,PCIE1_TX0_N,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
D32,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
D34,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
D36,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
D38,TAMPER1,SEE_IMX95_PINMUX_SHEET,IO,NVCC_BBSM,GPIO_PERIPH_CANDIDATE,TAMPER1,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
D40,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
D42,POR_B,,BOOT_DEBUG,NVCC_BBSM,BOOT_DEBUG_PMIC,POR_B,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
D44,PMIC_ON_REQ,,BOOT_DEBUG,NVCC_BBSM,BOOT_DEBUG_PMIC,PMIC_ON_REQ,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
D46,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
D48,I2C1_SCL,SEE_IMX95_PINMUX_SHEET,IO,NVCC_AON,GPIO_PERIPH_CANDIDATE,I2C1_SCL,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
D50,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
D52,I2C1_SDA,SEE_IMX95_PINMUX_SHEET,IO,NVCC_AON,GPIO_PERIPH_CANDIDATE,I2C1_SDA,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
E1,LVDS1_D2_P,,MEDIA,VDD_LVDS_1P8,DISPLAY_CAMERA,LVDS1_D2_P,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
E3,LVDS1_D2_N,,MEDIA,VDD_LVDS_1P8,DISPLAY_CAMERA,LVDS1_D2_N,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
E5,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
E7,LVDS0_D2_N,,MEDIA,VDD_LVDS_1P8,DISPLAY_CAMERA,LVDS0_D2_N,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
E9,LVDS0_D3_N,,MEDIA,VDD_LVDS_1P8,DISPLAY_CAMERA,LVDS0_D3_N,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
E11,MIPI_CSI1_D3_P,,MEDIA,MIPI_CSI1_VPH,DISPLAY_CAMERA,MIPI_CSI1_D3_P,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
E13,MIPI_CSI1_D2_P,,MEDIA,MIPI_CSI1_VPH,DISPLAY_CAMERA,MIPI_CSI1_D2_P,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
E15,MIPI_CSI1_CLK_P,,MEDIA,MIPI_CSI1_VPH,DISPLAY_CAMERA,MIPI_CSI1_CLK_P,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
E17,MIPI_CSI1_D1_P,,MEDIA,MIPI_CSI1_VPH,DISPLAY_CAMERA,MIPI_CSI1_D1_P,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
E19,MIPI_CSI1_D0_P,,MEDIA,MIPI_CSI1_VPH,DISPLAY_CAMERA,MIPI_CSI1_D0_P,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
E21,USB1_TX1_P,,USB,USB1_VPTX1,USB_C_OR_USB2,USB1_TX1_P,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
E23,USB1_VBUS,,USB,USB1_VDD33,USB_C_OR_USB2,USB1_VBUS,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
E25,USB1_TX0_N,,USB,USB1_VPTX0,USB_C_OR_USB2,USB1_TX0_N,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
E27,USB2_VBUS,,USB,USB2_VDD33,USB_C_OR_USB2,USB2_VBUS,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
E29,PCIE1_TX0_P,,PCIE,PCIE1_VPTX,NVME_M2,PCIE1_TX0_P,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
E31,PCIE2_TX0_P,,PCIE,PCIE2_VPTX,WIFI_M2,PCIE2_TX0_P,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
E33,PCIE_RESREF,,PCIE,PCIE1_VPH,PCIE,PCIE_RESREF,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
E35,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
E37,CLKIN1,SEE_IMX95_PINMUX_SHEET,IO,AVDD_1P8_ADC,GPIO_PERIPH_CANDIDATE,CLKIN1,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
E39,CLKIN2,SEE_IMX95_PINMUX_SHEET,IO,AVDD_1P8_ADC,GPIO_PERIPH_CANDIDATE,CLKIN2,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
E41,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
E43,I2C2_SCL,SEE_IMX95_PINMUX_SHEET,IO,NVCC_AON,GPIO_PERIPH_CANDIDATE,I2C2_SCL,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
E45,I2C2_SDA,SEE_IMX95_PINMUX_SHEET,IO,NVCC_AON,GPIO_PERIPH_CANDIDATE,I2C2_SDA,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
E47,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
E49,UART1_RXD,SEE_IMX95_PINMUX_SHEET,IO,NVCC_AON,GPIO_PERIPH_CANDIDATE,UART1_RXD,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
E51,UART2_RXD,SEE_IMX95_PINMUX_SHEET,IO,NVCC_AON,GPIO_PERIPH_CANDIDATE,UART2_RXD,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
F2,LVDS1_D3_P,,MEDIA,VDD_LVDS_1P8,DISPLAY_CAMERA,LVDS1_D3_P,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
F4,LVDS1_D3_N,,MEDIA,VDD_LVDS_1P8,DISPLAY_CAMERA,LVDS1_D3_N,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
F6,LVDS0_D1_P,,MEDIA,VDD_LVDS_1P8,DISPLAY_CAMERA,LVDS0_D1_P,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
F8,LVDS0_D1_N,,MEDIA,VDD_LVDS_1P8,DISPLAY_CAMERA,LVDS0_D1_N,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
F10,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
F12,MIPI_CSI1_D3_N,,MEDIA,MIPI_CSI1_VPH,DISPLAY_CAMERA,MIPI_CSI1_D3_N,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
F14,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
F16,MIPI_CSI1_CLK_N,,MEDIA,MIPI_CSI1_VPH,DISPLAY_CAMERA,MIPI_CSI1_CLK_N,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
F18,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
F20,MIPI_CSI1_D0_N,,MEDIA,MIPI_CSI1_VPH,DISPLAY_CAMERA,MIPI_CSI1_D0_N,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
F22,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
F24,USB2_ID,,USB,USB2_VDDH0,USB_C_OR_USB2,USB2_ID,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
F26,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
F28,USB2_TXRTUNE,,USB,USB2_VDDH0,USB_C_OR_USB2,USB2_TXRTUNE,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
F30,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
F32,PCIE2_TX0_N,,PCIE,PCIE2_VPTX,WIFI_M2,PCIE2_TX0_N,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
F34,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
F36,TAMPER0,SEE_IMX95_PINMUX_SHEET,IO,NVCC_BBSM,GPIO_PERIPH_CANDIDATE,TAMPER0,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
F38,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
F40,ONOFF,,BOOT_DEBUG,NVCC_BBSM,BOOT_DEBUG_PMIC,ONOFF,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
F42,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
F44,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
F46,PDM_CLK,SEE_IMX95_PINMUX_SHEET,IO,NVCC_AON,GPIO_PERIPH_CANDIDATE,PDM_CLK,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
F48,UART2_TXD,SEE_IMX95_PINMUX_SHEET,IO,NVCC_AON,GPIO_PERIPH_CANDIDATE,UART2_TXD,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
F50,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
F52,UART1_TXD,SEE_IMX95_PINMUX_SHEET,IO,NVCC_AON,GPIO_PERIPH_CANDIDATE,UART1_TXD,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
G1,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
G3,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
G5,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
G7,LVDS0_D0_P,,MEDIA,VDD_LVDS_1P8,DISPLAY_CAMERA,LVDS0_D0_P,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
